名称,住所
ポプリデイサービスセンター,埼玉県本庄市栗崎２６－１
オレンジデイサービスセンター,埼玉県本庄市東台2-6-29
デイサービスセンターマロニエ,埼玉県本庄市今井１３２５番地１０
ほのぼの館,埼玉県本庄市児玉町児玉２４４６－１
あずみ苑　本庄,埼玉県本庄市西富田７３９－１
デイサービスセンター　ひふみの森,埼玉県本庄市児玉町入浅見８３８番地３
ケアステーションあさひ本庄,埼玉県本庄市見福三丁目２番２２号
デイサービスセンター　どりーむ下浅見,埼玉県本庄市児玉町下浅見８２３番地４
デイサービスセンター　おひさま,埼玉県本庄市児玉町児玉２３７８－３
ケアセンター　ベル,埼玉県本庄市万年寺二丁目８番４３号
エバー・グリーン介護サービス,埼玉県本庄市柏一丁目５番７号
デイサービスセンター一期一会,埼玉県本庄市児玉町吉田林９７６番地４
ベルデイサービスセンター,埼玉県本庄市児玉町八幡山２７４番地１
デイサービスセンター　ケアリフ本庄,埼玉県本庄市早稲田の杜4-16-12
デイサービスセンターチューリップほんじょう,埼玉県本庄市若泉２丁目８番３３号
デイハウス　笑顔工房,埼玉県本庄市北堀1486-1
デイサービスセンターことぶき,埼玉県本庄市1218番
ケアセンター　早稲田の森,埼玉県本庄市児玉町高関179-1
ふれあいデイサービスセンター,埼玉県本庄市児玉町吉田林402番地2
シニアパーク・デイサービスセンター若泉の里,埼玉県本庄市若泉1丁目1番39号
スマイルひまわり児玉,埼玉県本庄市児玉町入浅見８３８番地３
デイサービスコットン,埼玉県本庄市児玉町金屋１２２２番８
デイサービスセンター愛里本庄,埼玉県本庄市北堀1796番地
デイサービスセンター愛里児玉,埼玉県本庄市児玉町児玉1216番地
ふれあい本庄デイサービスセンター,埼玉県本庄市若泉１－１－３９
デイサービスセンターファイン児玉,埼玉県本庄市児玉町児玉南4-1-4
老人保健施設本庄ナーシングホーム,埼玉県本庄市小島５－６－１
吉沢病院通所リハビリテーション,埼玉県本庄市寿２－１－５
特別養護老人ホームオルトビオス児玉ホーム,埼玉県本庄市児玉町金屋２７４－１
トマト村,埼玉県本庄市早稲田の杜五丁目14番8号
特別養護老人ホーム安誠園,埼玉県本庄市小和瀬１６６６
シャローム,埼玉県本庄市今井１２５１－１
短期入所施設　ことぶき,埼玉県本庄市寿２－１－５
ショートステイ　千鳥の丘,埼玉県本庄市児玉町宮内１２５０－１
医療法人　寿会　吉沢病院,埼玉県本庄市1216-1
福祉用具レンタル・販売　むさし,埼玉県本庄市朝日町３－１－４０
在宅介護　本庄　福祉用具,埼玉県本庄市早稲田の杜4-16-12
東洋ケアサービス株式会社　本庄支店,埼玉県本庄市小島南2丁目1-8
児玉居宅介護支援センター,埼玉県本庄市児玉町大字金屋１３０２－１
むさしの居宅介護支援サービス,埼玉県本庄市児玉町飯倉１６６
はなわ居宅介護支援事業所,埼玉県本庄市若泉１丁目１番３９号
本庄南介護支援センター,埼玉県本庄市北堀７０５－１
在宅介護支援センター　安誠園,埼玉県本庄市小和瀬１６６６
吉沢病院指定介護支援センター,埼玉県本庄市1216番地1
シャローム居宅介護支援センター,埼玉県本庄市今井１２５１－１
オレンジケアプラン,埼玉県本庄市東台２－６－２９
本庄居宅介護支援センター,埼玉県本庄市小島５－６－１
本庄市社会福祉協議会ケアプランセンター,埼玉県本庄市久々宇３１８－１
ケアセンターはじめ,埼玉県本庄市児玉町児玉南四丁目１１番３２号
ケアプランセンタージャム,埼玉県本庄市五十子４４６－１５
ケアプラン　ゆう,埼玉県本庄市児玉町長沖２０２－１
在宅介護　本庄　居宅介護支援,埼玉県本庄市早稲田の杜4-16-12
長岡居宅介護支援事業所,埼玉県本庄市児玉町児玉１４８９－５
ベル居宅介護支援事業所,埼玉県本庄市児玉町八幡山２７４番地１
アクシス　ケアプラン,埼玉県本庄市小島３－１６－２６
まごころケアプラン,埼玉県本庄市栄２丁目８番地１号　リオネルガーデン１０１号室
居宅介護支援事業所　あゆむ,埼玉県本庄市本庄2-5-6
居宅介護支援センター　彩,埼玉県本庄市西五十子634-4
くるみ　居宅介護支援事業所,埼玉県本庄市児玉町上真下326-1
本庄ケアプラザ,埼玉県本庄市けや木２丁目４番５号
居宅介護支援事業所ふくしまライフサポート,埼玉県本庄市寿二丁目4番10号
しゃくなげケアプランセンター,埼玉県本庄市前原二丁目2番3号
居宅介護支援事業所　青い風,埼玉県本庄市日の出三丁目6番50号　11号棟
居宅介護支援事業所翔,埼玉県本庄市前原1-3-7　CoMoDo B102
けあビジョン本庄,埼玉県本庄市駅南二丁目10番4号山岡ビル101
ケアプラン四季,埼玉県本庄市四季の里二丁目15番9号
ケアサポート　陽寄りの丘,埼玉県本庄市児玉町長沖２２２番地２田中ヴィレッジ１０８号
ウェルサポートふじた,埼玉県本庄市牧西１０４４番地
ひまわり児玉,埼玉県本庄市児玉町入浅見838番地3
ことりケアプラン,埼玉県本庄市下野堂1-21-12SフィールドⅡ　１０４号室
特別養護老人ホームオルトビオス児玉ホーム,埼玉県本庄市児玉町児玉734-1
ふくしのまち東松山,埼玉県東松山市元宿１－３１－１
ニチイケアセンター　東松山,埼玉県東松山市箭弓町１－１６－１　箭弓町田島店舗２階
ライフ居宅介護支援センター,埼玉県東松山市新郷１８０－５
ヘルパーステーションシャローム,埼玉県東松山市松山１４９６
ふじ介護サービス東松山センター,埼玉県東松山市沢口町２－１
ファミリーサポートセンター昴　訪問介護事業所,埼玉県東松山市松葉町２－１７－４３
おひさま介護サービス東松山,埼玉県東松山市松山町１丁目８－３
総合福祉エリアヘルパーステーション,埼玉県東松山市松山２１８３番地
有限会社　比企介護センター　ルピナス,埼玉県東松山市石橋１０３５－１
訪問介護事業所　「ふれあい」,埼玉県東松山市松本町２－１－５５　ハイツランブルＢ－１０２
株式会社ヘルシーサービス　東松山営業所,埼玉県東松山市神明町２－１－５
けあビジョン東松山,埼玉県東松山市神明町１－２－１　２階
訪問介護事業所「かがやき」,埼玉県東松山市石橋１５９８番地４
特定非営利活動法人　ヘルパーステーションコアラ,埼玉県東松山市大字早俣１番地１
学研ココファン高坂ヘルパーセンター,埼玉県東松山市大字宮鼻字大西１０８９番１号
ルース　ケアサービス,埼玉県東松山市元宿二丁目22番地６　加藤中央ビルNo.1
指定訪問介護事業所　ユーカリ東松山,東松山市美原町２丁目５－１１
かいほの手へルパーステーション,埼玉県東松山市御茶山町2番地1
オアシス２４東松山,埼玉県東松山市小松原町７－２
アースサポート東松山,埼玉県東松山市御茶山町４－８
公益社団法人　東松山医師会訪問看護ステーション,埼玉県東松山市神明町１－１５－１０
訪問看護ステーションシャローム,埼玉県東松山市松山１４９６
訪問看護ステーション「成恵」,埼玉県東松山市石橋１７２２－２
総合福祉エリア訪問看護ステーション,埼玉県東松山市松山２１８３番地
株式会社クレバリーワン　訪問看護ステーション　ハピネス　スマイリー,埼玉県東松山市神明町２－１－８　プラザ神明町１階１０１号室
ケアーズ訪問看護リハビリステーション東松山,埼玉県東松山市本町１丁目７－６　リゾンヤマイチ１０１
訪問看護のゼロ,埼玉県東松山市六軒町22番地28
デイサービスふくしのまち東松山,埼玉県東松山市元宿１－３１－１
東松山ホームデイサービスセンター,埼玉県東松山市石橋１７１６
すわやま荘デイサービスセンター,埼玉県東松山市高坂１８０９－１
デイサービス年輪,埼玉県東松山市大谷４１０６
ルロワリハビリデイサービスセンター,埼玉県東松山市下野本字上原１４６５番５
あおぞらリハビリデイサービス,埼玉県東松山市箭弓町３－４－１１
東松山市総合福祉エリアデイサービスセンター,埼玉県東松山市松山２１８３番地
デイサービス　楽らく,埼玉県東松山市上唐子９５８番地３
あずみ苑　東松山,埼玉県東松山市松山１２２０番地４
デイサービスセンターひだまり,埼玉県東松山市松山町二丁目１２６４－１
デイサービスセンターひがしまつやま寿苑,埼玉県東松山市柏崎６２９－１
ゆずリハビリデイサービスセンター,埼玉県東松山市下野本１４６５
シニアフィットネス《沙羅》,埼玉県東松山市石橋728-10
ブルーミングケア市ノ川あかり,埼玉県東松山市市ノ川40
ひだまりの郷デイサービス,埼玉県東松山市石橋1039番地6
ブルーミングケア高坂,埼玉県東松山市宮鼻1015-1
介護老人保健施設　わかばの丘,埼玉県東松山市毛塚７７３
通所リハビリテーション成恵,埼玉県東松山市石橋１７２２－２
介護老人保健施設東松山市総合福祉エリア,埼玉県東松山市松山２１８３番地
介護老人福祉施設　東松山ホーム,埼玉県東松山市石橋１７１６
年輪福祉ホーム,埼玉県東松山市大谷４１０６
みどりの郷あすかショートステイ,埼玉県東松山市大谷１５３８－１
ショートステイひがしまつやま寿苑,埼玉県東松山市柏崎６２９－１
特別養護老人ホーム　ふるさとの杜かみのもと,埼玉県東松山市大字上野本1873番1
ひだまりの郷ショートステイ,埼玉県東松山市石橋1039-6
有料老人ホーム　サニーライフ東松山,埼玉県東松山市材木町１６－２３
あんしんホーム東松山,埼玉県東松山市上唐子1498-21
介護付有料老人ホームヒューマンサポート東松山,埼玉県東松山市下野本1466-1
家族の家ひまわり東松山,埼玉県東松山市大字東平1477-1
有料老人ホーム　サニーライフ東松山弐番館,埼玉県東松山市加美町2番22号
レンタルふくしのまち東松山,埼玉県東松山市元宿１－３１－１
株式会社　高橋医科器械店　東松山営業所,埼玉県東松山市今泉１１１－３
ダスキンヘルスレント東松山ステーション,埼玉県東松山市松葉町１－２４－１０
エール・ケア東松山,埼玉県東松山市神明町２丁目１６－１５
くつろぎ,埼玉県東松山市箭弓町一丁目７番５号　１Ｆ
ひまわり館東松山店,埼玉県東松山市元宿一丁目21番地10
在宅介護支援事業所「成恵」,埼玉県東松山市石橋１７２２－２
居宅介護支援事業所　わかばの丘,埼玉県東松山市毛塚７７３
介護支援事業所　シャローム,埼玉県東松山市松山１４９６
ふじ介護サービス　居宅介護支援事業所,埼玉県東松山市沢口町2-1
居宅介護支援事業所　東松山ホーム,埼玉県東松山市石橋１７１６
ニチイケアセンター東松山,埼玉県東松山市箭弓町１－１６－１　箭弓町田島店舗２階
居宅介護支援事業所　デイサービス年輪,埼玉県東松山市大谷４１０６
有限会社　介護ハウス新井,埼玉県東松山市箭弓町３－４－１１
ハロークリニック相談支援室　指定居宅介護支援事業所,埼玉県東松山市大谷１０６６－１
総合福祉エリア居宅介護支援事業所,埼玉県東松山市松山２１８３番地
楽らくケアサービス,埼玉県東松山市新郷２９－３
総合福祉エリアきらめき居宅介護支援事業所,埼玉県東松山市松山２１８３　
みどりの郷あすかケアセンター,埼玉県東松山市大谷字前原１５３８－１
あるとけあ居宅介護支援事業所,埼玉県東松山市箭弓町１－６－１５　東松山ＦＴ駅前ビル２階
居宅介護支援事業所トラムスソーシャルサポート,埼玉県東松山市白山台２４番地２０
居宅介護支援事業所ひがしまつやま寿苑,埼玉県東松山市柏崎６２９－１
ゆず　居宅介護支援事業所,埼玉県東松山市下野本１４６５
居宅介護支援事業所　春陽,埼玉県東松山市元宿1-36-12ﾒｿﾞﾝ111　101
学研ココファン高坂,埼玉県東松山市大字宮鼻字大西１０８９番１号
指定居宅介護支援事業所　ユーカリ東松山,埼玉県東松山市美原町二丁目１１－５
居宅介護支援事業所　かいほの園,埼玉県東松山市御茶山町2番地1
ひだまりの郷居宅介護支援事業所,埼玉県東松山市石橋1039-6
居宅介護支援事業所　ふるさとの杜,埼玉県東松山市神明町2丁目17番21号A号棟
訪問看護のゼロ　居宅介護支援事業所,埼玉県東松山市六軒町22番地28
株式会社ヘルシーサービス東松山営業所,埼玉県東松山市神明町2丁目1番地5号
介護老人福祉施設東松山ホーム,埼玉県東松山市石橋１７１６
介護老人保健施設東松山市総合福祉エリア,埼玉県東松山市松山２１８３
有限会社　向陽,埼玉県東松山市山崎町１７－５
春日部勝彩園,埼玉県春日部市上大増新田１０６－１
有限会社　ナーシングケアーセンター,埼玉県春日部市中央５丁目３番地４
ニチイケアセンター春日部中央,埼玉県春日部市中央１－４－６　ｵｶﾞﾜ第３ビル１階
医療法人浜崎医院ヘルパーセンター『はまさき』,埼玉県春日部市備後西3-9-37
ニチイケアセンター友輪,埼玉県春日部市八丁目４６８－１
指定訪問介護事業所すみれ,埼玉県春日部市中央１丁目５２番地９
医療生協ケアセンターひだまり,埼玉県春日部市浜川戸２－１３－１７　伏見屋第一ビル１階
有限会社　かすかべ華ライフケアサービス,埼玉県春日部市増富３５８番地６
有限会社　春日部介護福祉サービス,埼玉県春日部市中央２－１５－１６　コーポ森Ⅲ　１０１号
アールスタッフ春日部ケアサービス,埼玉県春日部市中央１－５８－４　最高研ビル１階
医療法人光仁会訪問介護ステーションひまわり,埼玉県春日部市下蛭田１２５番地－１　春日部厚生クリニック内１階
おひさま介護サービス春日部,埼玉県春日部市栄町１丁目４０番地
ニチイケアセンター武里,埼玉県春日部市大場１３６０－１　グランデージ武里１階
ホームヘルパーステーション　豊潤館,埼玉県春日部市花積２６７－７
和の輪,埼玉県春日部市谷原１－１８－１ドルミ春日部１１１号
訪問介護ステーション花ごころ,埼玉県春日部市粕壁東５－１５－３７
水辺の園　しおり,埼玉県春日部市本田町二丁目３１９番地
青い鳥,埼玉県春日部市中央８－８－３６
訪問介護それいゆ,埼玉県春日部市下蛭田２６３番地
あおぞらネット春日部,埼玉県春日部市大場1386
訪問介護　千の風,埼玉県春日部市南５丁目１－５８
にこっと介護サービス,埼玉県春日部市新宿新田333番地140　タンケンビル201
社会福祉法人　春日部市社会福祉協議会,埼玉県春日部市中央二丁目２４番地１
けあビジョン春日部,埼玉県春日部市備後西四丁目5-23　グレース山陽１０３号室
株式会社さいたま福祉サービス　春日部営業所,埼玉県春日部市谷原二丁目２番１３号　清水マンション５号室
あやめケアサービス,埼玉県春日部市備後西三丁目６番３１号
さくらケアセンター,埼玉県春日部市大場７４８番１
絆,埼玉県春日部市備後西３丁目３番８号　メゾンミナミ１０１
プラチナ・訪問介護ステーション春日部,埼玉県春日部市栄町三丁目１０７番地
アールスタッフせんげん台ケアサービス,埼玉県春日部市大枝７９５－１　原第３マンション１F　１０８号室
ゆくり,埼玉県春日部市大衾２４０－２１
学研ココファン春日部ヘルパーセンター,埼玉県春日部市八丁目２０７－１
ケアメディカル春日部訪問介護事業所,埼玉県春日部市新宿新田３３３－１４０　タンケンビル２０２
訪問介護ミント,埼玉県春日部市一ノ割一丁目５番１３号
ほっとサービス茉,埼玉県春日部市一ノ割四丁目６番１１
ご長寿くらぶ　春日部一ノ割訪問介護事業所,埼玉県春日部市南4丁目２２－１４
訪問介護ステーションありがとう,埼玉県春日部市西金野井1822番地2
プラチナ・訪問介護ステーション春日部六軒町,埼玉県春日部市六軒町６番
ヘルパーステーション春日部パドマ,埼玉県春日部市新宿新田335-1
訪問介護HCS,埼玉県春日部市備後東１丁目４－１０八面コーポ１０３
訪問介護ステーションこんぱす,埼玉県春日部市八丁目422番地
グラース春日部訪問介護事業所,埼玉県春日部市豊町3丁目5番地7
スマイルライフ,埼玉県春日部市豊町二丁目10番12号小島ハイツ1階103号室
ヘルパーステーション　アンビシャス,埼玉県春日部市南一丁目1番7号東部地域振興ふれあい拠点施設5F創業支援ルームA-3
株式会社コアラ春日部,埼玉県春日部市備後東七丁目９番１５号
ななほし訪問介護ステーション,埼玉県春日部市備後東八丁目１番１０号ハイツ２２・１０２号室
ＳＯＭＰＯケア　春日部中央　訪問介護,埼玉県春日部市中央６丁目８番地１２
ＳＯＭＰＯケア　春日部武里　訪問介護,埼玉県春日部市大場1138-1高橋第三店舗１F
はるはる,埼玉県春日部市中央1丁目8-6ベル島田802号
訪問介護ふれあい,埼玉県春日部市豊町2丁目9番1号カメリアコート305号
障がい者活躍させます。LIFEケア,埼玉県春日部市上蛭田５７２番地１コージーハウス関根１０４
さくらそう介護サービス,埼玉県春日部市粕壁２丁目８番１２号シカマビル２０７号室
アースサポート春日部,埼玉県春日部市中央１－７－７
ふくしのまち春日部,埼玉県春日部市金崎９８２－１
エール,埼玉県春日部市米島１８６
ハピネスケア株式会社　春日部営業所,埼玉県春日部市梅田本町２－１２－４
アサヒサンクリーン在宅介護センター春日部,埼玉県春日部市南１－９－５０
ＳＯＭＰＯケア　春日部中央　訪問入浴,埼玉県春日部市中央6丁目8番地12
アースサポート春日部,埼玉県春日部市中央一丁目７番７号
春日部ロイヤル訪問看護ステーション,埼玉県春日部市藤塚２６２２番２
医療法人光仁会訪問看護ステーションひまわり,埼玉県春日部市下蛭田１２５番地１　春日部厚生クリニック内１階
春日部訪問看護ステーションすみれ,埼玉県春日部市中央１丁目５２番地９
一般社団法人春日部市医師会立訪問看護ステーション藤,埼玉県春日部市大枝８９番地７街区４棟
訪問看護ステーションはまさき,埼玉県春日部市備後西３－８－５７
訪問看護ステーションさや,埼玉県春日部市内牧字四方谷５０６６番地１
リハビリこんぱす訪問看護ステーション,埼玉県春日部市八丁目４２２－１
咲くら訪問看護リハビリステーション,埼玉県春日部市大沼5丁目41-2
訪問看護ステーションデューン春日部,埼玉県春日部市粕壁1丁目7番地11池田ビル３階
ＳＯＭＰＯケア　春日部武里　訪問看護,埼玉県春日部市大場1138-1高橋第三店舗１F
介護老人保健施設　しょうわ,埼玉県春日部市下柳１０８８
清寿園,埼玉県春日部市内牧２０７２
百合の郷,埼玉県春日部市大畑４０７－２
孝楽園デイサービスセンター,埼玉県春日部市赤沼字堂面２９５
よもやまばなし,埼玉県春日部市増田新田３９１－２１
デイサービスセンター　遊・春日部花積,埼玉県春日部市花積１０８－５
武里ひばりデイサービス,埼玉県春日部市大場２８７－１
デイサービスセンター　フラワーヒル,埼玉県春日部市一ノ割９４８番１
デイサービスセンター豊潤館,埼玉県春日部市花積２６７－７
デイサービス・たけ里,埼玉県春日部市中央三丁目１１－７
春日部ケアセンターそよ風,埼玉県春日部市牛島391
ゆたか,埼玉県春日部市谷原新田字袋前耕地２２２０番地
あいはな,埼玉県春日部市谷原新田１４２７－１
あずみ苑　南桜井,埼玉県春日部市米島１１６５－２
デイサービス　あすなろの郷,埼玉県春日部市銚子口１１３３－１
デイサービスセンター　庄和和合,埼玉県春日部市金崎字道江５２７－１
社会福祉法人　春日部市社会福祉協議会　あしすと春日部デイサービスセンター,埼玉県春日部市中央二丁目２４番地１
社会福祉法人春日部市社会福祉協議会　ゆっく武里デイサービスセンター,埼玉県春日部市大枝89番地7街区４棟
ツクイ春日部,埼玉県春日部市栄町３－８２
デイサービスセンターヒューマンサポート春日部,埼玉県春日部市備後西五丁目１－４４
縁「ゆかり」,埼玉県春日部市永沼２１５８番地１
さくらデイサービスセンター,埼玉県春日部市大場７４８番１
デイサービスセンター絆,埼玉県春日部市南五丁目５番６７　サザンビルＡ
デイサービス沙羅双樹,埼玉県春日部市谷原三丁目１３番５号
デイサービス円居,埼玉県春日部市一ノ割４丁目１５番７－４号
アップネス,埼玉県春日部市大枝５５２－１
フィットネスデイ　リズム,埼玉県春日部市谷原３丁目１８番３号
かがやきデイサービス春日部,埼玉県春日部市中央５－７－１２
ウエルガーデンエミナース春日部,埼玉県春日部市内牧3701-1
地域リハビリケアセンター　こんぱす春日部,埼玉県春日部市梅田一丁目6-19
あすみる学校型デイサービス,埼玉県春日部市豊町一丁目21番地5プラザ豊町
デイサービスセンター　エクラシア春日部,埼玉県春日部市南5-1-52
デイサービスセンターさや,埼玉県春日部市内牧字四方谷４９９８番地１
武里まきば園デイサービスセンター,埼玉県春日部市武里中野７０５
医療法人浜崎医院　デイサービスセンターはまさき,埼玉県春日部市備後西３丁目９番３７号
縁「ゆかり」介護予防センター,埼玉県春日部市永沼2160番地
医療法人浜崎医院　デイサービスセンターはまさきの郷,埼玉県春日部市一ノ割３丁目１６－９
医療法人光仁会春日部厚生リハビリデイサービスセンター,埼玉県春日部市下蛭田１２５－１
地域リハビリケアセンターこんぱすエイト,埼玉県春日部市八丁目１１２７番地１
デイサービスこはるびより,埼玉県春日部市南五丁目6番地7号
デイサービスセンター　ダレタメ　かすかべ,埼玉県春日部市浜川戸1丁目11-4
あいわデイサービスセンター,埼玉県春日部市金崎７０２番地１
デイサービスセンター　ふれあい,埼玉県春日部市米島９６７－４
社会福祉法人平成会　しょうぶ苑,埼玉県春日部市米崎３８９
介護老人保健施設 ちとせ,埼玉県春日部市下大増新田８１－１
介護老人保健施設　春日部ロイヤルケアセンター,埼玉県春日部市藤塚２６２２番２
介護老人保健施設　葵の園・春日部,埼玉県春日部市金崎71-1
山﨑整形外科,埼玉県春日部市牛島１０８１－３　１階
いこい,埼玉県春日部市粕壁東一丁目11番12号
ぬくもり,埼玉県春日部市永沼２２２９－１
春日部勝彩園,埼玉県春日部市上大増新田１０９－２
孝楽園ショートステイセンター,埼玉県春日部市赤沼字堂面２９５番地
特別養護老人ホーム　豊潤館,埼玉県春日部市花積２６７－７
ショートステイ　フラワーヒル,埼玉県春日部市一ノ割９４８番１
特別養護老人ホーム彩光苑,埼玉県春日部市内牧３１４９
ゆたか,埼玉県春日部市谷原新田字袋前耕地２２２０
短期入所生活介護事業所　庄和和合,埼玉県春日部市金崎字道江５２７－１
ショートステイ　あすなろの郷,埼玉県春日部市銚子口１１３３－１
ショートステイ　福満,埼玉県春日部市南二丁目６番２４号
春日部ショートステイそよ風,埼玉県春日部市本田町一丁目３５番地
武里まきば園,埼玉県春日部市武里中野７０５
特別養護老人ホーム　おおまし,埼玉県春日部市下大増新田78-1
ウエルガーデン春日部,埼玉県春日部市内牧3701番地8
医療法人光仁会　春日部厚生病院,埼玉県春日部市緑町６－１１－４８
医療法人社団　みどり会　武里病院,埼玉県春日部市下大増新田９－３
介護老人保健施設　きんもくせい庄和,埼玉県春日部市上金崎２８番地
介護老人保健施設　葵の園・春日部（ユニット型）,埼玉県春日部市金崎71-1
医療法人福満会守田内科医院,埼玉県春日部市南２－６－２７
家族の家ひまわり春日部,埼玉県春日部市粕壁６０４０番地１
介護付有料老人ホームヒューマンサポート春日部,埼玉県春日部市備後西五丁目１番４４号
イリーゼかすかべ,埼玉県春日部市南一丁目９番６１号
介護付有料老人ホームヒューマンサポート春日部中央,埼玉県春日部市豊町一丁目４番５
家族の家ひまわり北春日部,埼玉県春日部市梅田本町二丁目２９番５号
ケアハウス　彩光苑,埼玉県春日部市内牧３１４９
サンライズ・ヴィラ春日部,埼玉県春日部市大畑363番地1
サンライズ・ヴィラ北春日部,埼玉県春日部市栄町１丁目８２番地
ハーモニーライフ春日部,埼玉県春日部市一ノ割4-3-13
ふるさとホーム武里,埼玉県春日部市大畑１１６番地１
プラチナ・シニアホーム春日部藤の牛島,埼玉県春日部市牛島１５９０番地１
応援家族　庄和館,埼玉県春日部市西金野井６４－２４
さくらそう介護サービス,埼玉県春日部市粕壁２－８－１２　シカマビル２０７号
有限会社太田ケア,埼玉県春日部市備後東６－９－４９
有限会社ミキコーポレーション,埼玉県春日部市中央１－５７－１４
有限会社　マルエスサービス,埼玉県春日部市小渕字山下１０２７番１１
福祉用具　アプローズ,埼玉県春日部市栄町二丁目２８０番地
エフビー介護サービス株式会社　春日部営業所,埼玉県春日部市緑町６丁目４－６
レスポンス,埼玉県春日部市牛島５０番地１６
福祉用具さくら,埼玉県春日部市大場７４８番１
株式会社フロンティア　春日部営業所,埼玉県春日部市中央6丁目4-10
株式会社同仁社　埼玉東営業所,埼玉県春日部市中央７丁目６番地１
福祉用具ピプロ,埼玉県春日部市増戸６１８番地５
きらら,埼玉県春日部市大衾４９６番地３８１
株式会社ファミリーケア　春日部営業所,埼玉県春日部市大沼一丁目79番地6
あすえる,埼玉県春日部市大畑１５４－１サンライズビル２０１
ケアマネジャーセンター　春日部勝彩園,埼玉県春日部市上大増新田１０９－２
居宅介護支援事業所清寿園,埼玉県春日部市内牧２０７２
医療法人　福満会　守田内科医院,埼玉県春日部市南２－６－２４
医療法人　浜崎医院,埼玉県春日部市備後西３－８－５７
孝楽園在宅介護支援センター,埼玉県春日部市赤沼字堂面２９５
ケアプランあいはな,埼玉県春日部市大枝５５２－１
アールスタッフ春日部ケアサービス,埼玉県春日部市中央１－５８－４　最高研ビル1階
春日部ロイヤルケアセンター居宅介護支援事業所,埼玉県春日部市藤塚２６２２番２
医療法人光仁会居宅介護支援事業所ひまわり,埼玉県春日部市下蛭田１２５番地ー１　春日部厚生クリニック内　1階
居宅介護支援事業所　フラワーヒル,埼玉県春日部市一ノ割９４８番１
居宅介護支援センター　豊潤館,埼玉県春日部市花積２６７－７
くらびくる,埼玉県春日部市谷原二丁目６番地１７　レジーナ壱番館１０２号
居宅介護支援事業所　アン・インプレッション,埼玉県春日部市小渕１１２３番地１
ふくしあ,埼玉県春日部市西宝珠花字陣屋１７２
居宅介護支援それいゆ,埼玉県春日部市下蛭田２６３番地
ケアプラン　花ごころ,埼玉県春日部市粕壁東５－１５－３７
居宅介護支援事業所　庄和和合,埼玉県春日部市金崎字道江５２７－１
居宅介護支援事業所　あすなろの郷,埼玉県春日部市銚子口１１３３－１
菩提樹,埼玉県春日部市谷原三丁目１３番５号
居宅介護支援センターヒューマンサポート春日部,埼玉県春日部市備後西五丁目１番４４号
医療法人社団嬉泉会　春日部きせん居宅介護支援事業所,埼玉県春日部市中央一丁目５３番１７号　春日部嬉泉病院別館１階
居宅介護支援事業所さくら,埼玉県春日部市大場７４８番１
ケアプランくりのみ,埼玉県春日部市大枝５９４番地４
ケアマネステーション　デン,埼玉県春日部市南二丁目２番６８号
あおぞらネット春日部,埼玉県春日部市大場287-1
在宅支援センター　悠友,埼玉県春日部市道口蛭田165-7
ケアメディカル春日部居宅介護支援事業所,埼玉県春日部市新宿新田３３３－１４０　タンケンビル２０２
医療法人光仁会居宅介護支援事業所ひまわり武里,埼玉県春日部市大枝８９武里団地３－２３－２０５
ケアマネジャーセンターラズベリー,埼玉県春日部市一ノ割一丁目５番１３号
ケアセンター春日部パドマ,埼玉県春日部市新宿新田３３５番１
藤のまちそよ風　居宅介護支援事業所,埼玉県春日部市本田町一丁目35番地
介護保険プランナーズ,埼玉県春日部市栄町二丁目２８０番地
武里まきば園居宅介護支援センター,埼玉県春日部市武里中野７０５
エフビー居宅介護支援事業所　春日部,埼玉県春日部市緑町６丁目４－６
春日部中央総合病院居宅介護支援事業所,埼玉県春日部市藤塚２６２２番２
居宅介護支援事業所アース,埼玉県春日部市栄町１－３００－１松原荘１０２
居宅介護支援事業所　グッドラック,埼玉県春日部市中央二丁目２７番１２
居宅介護支援事業所あおば,埼玉県春日部市備後東１丁目４ー１０
おひさま,埼玉県春日部市豊町2丁目10番12号小島ハイツ1階103号室
ケアサポーターたけ里,埼玉県春日部市中央3-11-7　2階
ケアマネジャーセンター　アンビシャス,埼玉県春日部市南一丁目1番7号東部地域振興ふれあい拠点施設5F創業支援ルームA-3
ケアプランの羽　居宅介護支援事業所,埼玉県春日部市金崎987番地8
ななほしケアプランセンター,埼玉県春日部市備後東八丁目１番１０号ハイツ２２・１０２号室
ＳＯＭＰＯケア　春日部中央　居宅介護支援,埼玉県春日部市中央６丁目８番地１２
ＳＯＭＰＯケア　春日部武里　居宅介護支援,埼玉県春日部市大場１１３８－１高橋第３店舗１Ｆ
春日部・あおいホームケアサービス,埼玉県春日部市金崎７１－１
さくらそう介護サービス居宅介護支援事業所,埼玉県春日部市粕壁２丁目８番１２号シカマビル２０７号室
庄和中央病院指定居宅介護支援事業所,埼玉県春日部市上金崎２８番地
あいわケアマネージャーセンター,埼玉県春日部市金崎７０２番地１
介護老人保健施設しょうわ,埼玉県春日部市下柳１０８８番地
社会福祉法人平成会　居宅介護支援事業所　しょうぶ苑,埼玉県春日部市米崎３８９
特別養護老人ホーム　フラワーヒル,埼玉県春日部市一ノ割９４８番１
特別養護老人ホーム　庄和和合,埼玉県春日部市金崎字道江５２７－１
特別養護老人ホーム　あすなろの郷,埼玉県春日部市銚子口１１３３－１
特別養護老人ホーム　ひかり,埼玉県春日部市不動院野643番地
特別養護老人ホームそら,埼玉県春日部市不動院野６４７
